character	reading	class	reference	encoding	usage
買	chác	【訓】	https://en.wiktionary.org/wiki/ch%C3%A1c#Vietnamese	U+8CB7	đổi chác
怾	chắc	【音】	https://en.wiktionary.org/wiki/ch%E1%BA%AFc#Etymology_1	U+603E	tin chắc, chắc chắn, chết chắc
𦅷	chạc	【音】	https://en.wiktionary.org/wiki/ch%E1%BA%A1c	U+26177	ăn chạc, chạc tiền, chững chạc, chạc cây, dây chạc
只	chách	【訓】	https://en.wiktionary.org/wiki/ch%C3%A1ch#Vietnamese	U+53EA	[Số đếm trong tiếng lóng lái lợn]
	chách	【声】			nói lách chách
甀	chai	【訓】	https://en.wiktionary.org/wiki/chai#Etymology_1_5	U+7500	chai lọ
厔	chái	【音】	https://en.wiktionary.org/wiki/ch%C3%A1i#Vietnamese	U+5394	chái nhà, hè chái
䊷	chài	【音】	https://en.wiktionary.org/wiki/ch%C3%A0i#Etymology_1	U+42B7	mồi chài
侢	chãi	【音】	https://en.wiktionary.org/wiki/v%E1%BB%AFng_ch%C3%A3i	U+4FA2	vững chãi
梳	chải	【訓】	https://en.wiktionary.org/wiki/ch%E1%BA%A3i#Vietnamese	U+68B3	chải tóc, bàn chải, chải chuốt, bươn chải, lược chải đầu
占	chàm	【非】	https://en.wikipedia.org/wiki/Chams	U+5360	dân tộc Chàm, Tháp Chàm
藍	chàm	【非】	https://en.wiktionary.org/wiki/ch%C3%A0m#Vietnamese	U+85CD	bệnh chàm, mặt nổi chàm, áo chàm
針	châm	【汉】		U+91DD	phương châm, châm cứu, châm biêm, châm chọc, châm kim
斟	châm	【汉】		U+659F	châm chước
箴	châm	【汉】		U+7BB4	châm ngôn
占	chăm	【非】	https://en.wiktionary.org/wiki/Ch%C4%83m	U+5360	người Chăm
勤	chăm	【訓】	https://en.wiktionary.org/wiki/ch%C4%83m	U+52E4	chăm chắm, chăm chỉ, chăm chút, nhìn chăm chăm
点	chấm	【訓】	https://en.wiktionary.org/wiki/ch%E1%BA%A5m	U+70B9	chấm điểm, chấm dứt
紞	chầm	【音】	https://dictionary.zim.vn/viet-anh/om-cham-tieng-anh-la-gi	U+7D1E	ôm chầm
	chầm	【声】			chầm chậm
	chắm	【声】			chăm chắm
𢲥	chằm	【音】	?	U+22CA5	chằm đài múc nước
𧿒	chẫm	【音】	https://vietpedia.vn/tu-vung/lam-cham-1	U+27FD2	lẫm chẫm
触	chạm	【訓】	https://en.wiktionary.org/wiki/ch%E1%BA%A1m#Etymology_1	U+89E6	va chạm
迟	chậm	【訓】	https://en.wiktionary.org/wiki/ch%E1%BA%ADm	U+8FDF	đi chậm, chầm chậm, chậm chạp, tàu chậm
滇	chan	【音】	https://en.wiktionary.org/wiki/chan#Vietnamese	U+6EC7	chan canh, chan chứa, búa đập chan chát
𱞰	chán	【音】	https://en.wiktionary.org/wiki/ch%C3%A1n#Vietnamese	U+317B0	chán ngán, no chán, chán chường, chán nản, chán phè, chán thấy mồ
真	chân	【汉】		U+771F	chân chính, chân lí, chân dung, chân tướng, chân chất
脚	chân	【訓】	https://en.wiktionary.org/wiki/ch%C3%A2n#Etymology_1	U+811A	chân dài, bàn chân
𤛇	chăn	【音】	https://en.wiktionary.org/wiki/ch%C4%83n#Etymology_1	U+246C7	chăn dê
毡	chăn	【非】	https://en.wiktionary.org/wiki/ch%C4%83n#Etymology_2	U+6BE1	chăn bông, chăn chiếu
振	chấn	【汉】		U+632F	chấn động
障	chấn	【訓】	https://en.wiktionary.org/wiki/ch%E1%BA%A5n_song	U+969C	chấn song
震	chấn	【汉】		U+9707	địa chấn, chấn thương
	chần	【声】			chần chừ
障	chắn	【訓】	https://en.wiktionary.org/wiki/ch%E1%BA%AFn#Etymology_1	U+969C	kính chắn gió
	chắn	【声】			chắc chắn, chín chắn
診	chẩn	【汉】		U+8A3A	chẩn đoán
賑	chẩn	【汉】		U+8CD1	chẩn tế, phát chẩn
止	chận	【訓】	https://en.wiktionary.org/wiki/ch%E1%BA%ADn	U+6B62	[=chặn]
止	chặn	【訓】	https://en.wiktionary.org/wiki/ch%E1%BA%B7n	U+6B62	ngăn chặn
像	chang	【訓】	https://en.wiktionary.org/wiki/y_chang	U+50CF	y chang
𣆮	chang	【音】	https://en.wiktionary.org/wiki/chang_chang	U+231AE	nắng chang chang
郎	chàng	【非】	https://en.wiktionary.org/wiki/ch%C3%A0ng#Etymology_1	U+90CE	anh chàng, chàng trai
凿	chàng	【訓】	https://en.wiktionary.org/wiki/ch%C3%A0ng#Etymology_2	U+51FF	cái chàng
蜍	chàng	【訓】	https://en.wiktionary.org/wiki/ch%C3%A3o_ch%C3%A0ng	U+870D	chão chàng
岂	chăng	【訓】	https://en.wiktionary.org/wiki/ch%C4%83ng#Etymology_1	U+5C82	Biết chăng?
张	chăng	【訓】	https://en.wiktionary.org/wiki/ch%C4%83ng#Etymology_2	U+5F20	chăng đèn, chăng dây
縛	chằng	【訓】	https://en.wiktionary.org/wiki/ch%E1%BA%B1ng	U+7E1B	chằng chịt
莫	chẳng	【訓】	https://en.wiktionary.org/wiki/ch%E1%BA%B3ng	U+83AB	chẳng biết, chẳng bõ
昏	chạng	【訓】	https://en.wiktionary.org/wiki/ch%E1%BA%A1ng_v%E1%BA%A1ng	U+660F	chạng vạng
𣑕	chặng	【音】	https://en.wiktionary.org/wiki/ch%E1%BA%B7ng	U+23455	chặng đường, chặng dây, chặng cây
橙	chanh	【非】	https://en.wiktionary.org/wiki/chanh#Etymology_1	U+6A59	chanh ta, chanh tây, chè chanh, trà chanh, lanh chanh
正	chánh	【汉】	southern	U+6B63	chánh nghĩa, chánh văn phòng, ông chánh tổng
𦭒	chánh	【音】	?	U+26B52	sừng có chánh
政	chánh	【汉】	southern	U+653F	tài chánh
肿	chành	【訓】	https://en.wiktionary.org/wiki/ch%C3%A0nh	U+80BF	chành bành
方	chành	【訓】	https://vdict.com/ch%C3%A0nh%20ch%E1%BA%A1nh,3,0,0.html	U+65B9	chành chạnh
湩	chành	【音】	https://en.wiktionary.org/wiki/ch%C3%B2ng_ch%C3%A0nh	U+6E69	chòng chành
正	chạnh	【訓】	https://vdict.com/ch%C3%A0nh%20ch%E1%BA%A1nh,3,0,0.html	U+6B63	chành chạnh
怆	chạnh	【訓】	https://en.wiktionary.org/wiki/ch%E1%BA%A1nh	U+6006	chạnh lòng
洨	chao	【音】	https://en.wiktionary.org/wiki/chao#Etymology_2_2	U+6D28	chao đảo
炸	cháo	【非】	https://en.wiktionary.org/wiki/d%E1%BA%A7u_ch%C3%A1o_qu%E1%BA%A9y	U+70B8	dầu cháo quẩy
粥	cháo	【訓】	https://en.wiktionary.org/wiki/ch%C3%A1o#Vietnamese	U+7CA5	cháo ám
朝	chào	【非】	https://en.wiktionary.org/wiki/ch%C3%A0o#Vietnamese	U+671D	chào hỏi, xin chào
蟾	chão	【訓】	https://en.wiktionary.org/wiki/ch%C3%A3o#Noun_4	U+87FE	chão chàng
𥿣	chão	【音】	https://en.wiktionary.org/wiki/ch%C3%A3o#Noun_3	U+25FE3	bện chão
𨥿	chảo	【音】	https://en.wiktionary.org/wiki/ch%E1%BA%A3o	U+2897F	xanh chảo
执	chấp	【汉】		U+6267	chấp nhận, chấp chới, bất chấp, chứa chấp, chấp pháp, tranh chấp
𲷰	chắp	【音】	https://en.wiktionary.org/wiki/ch%E1%BA%AFp	U+32DF0	chắp nối, chắp tay
腊	chạp	【非】	https://en.wiktionary.org/wiki/ch%E1%BA%A1p	U+814A	tháng chạp, giỗ chạp
	chạp	【声】			chậm chạp
	chập	【声】			chập choạng, chập chờn, chập chùng
𬏧	chập	【音】	https://en.wiktionary.org/wiki/gi%E1%BA%ADp	U+2C3E7	[=giập]
	chát	【声】			đốp chát
貭	chất	【汉】		U+8CAD	chất lượng, biến chất, bản chất, chất độc
积	chất	【訓】	https://en.wiktionary.org/wiki/ch%E1%BA%A5t#Etymology_2	U+79EF	chất chứa, chất đống
𣻂	chắt	【音】	https://en.wiktionary.org/wiki/ch%E1%BA%AFt#Etymology_2	U+23EC2	chắt lọc, chắt chiu
𡥑	chắt	【音】	https://en.wiktionary.org/wiki/ch%E1%BA%AFt#Etymology_1	U+21951	cháu chắt
緊	chật	【訓】	https://en.wiktionary.org/wiki/ch%E1%BA%ADt	U+7DCA	chật chội
	chật	【声】			chật vật
切	chặt	【訓】	https://en.wiktionary.org/wiki/ch%E1%BA%B7t#Etymology_2	U+5207	chặt cây
𦄃	chặt	【音】	https://en.wiktionary.org/wiki/ch%E1%BA%B7t#Etymology_1	U+26103	chặt chẽ
𡥙	cháu	【音】	https://en.wiktionary.org/wiki/ch%C3%A1u#Vietnamese	U+21959	cháu chắt, con cháu
州	châu	【汉】		U+5DDE	Giao Châu, thần châu
周	châu	【汉】		U+5468	[=chu]
洲	châu	【汉】		U+6D32	Châu Á, châu lục
珠	châu	【汉】		U+73E0	trân châu, châu báu, hoả châu
週	châu	【汉】		U+9031	lỗ châu mai, Châu Thành
㑇	châu	【音】	?	U+3447	quan châu
	châu	【声】			châu chấu
楱	chấu	【音】	https://en.wiktionary.org/wiki/ch%E1%BA%A5u	U+6971	chân chấu, khối bê-tông 4 chấu
𧎝	chấu	【音】	https://en.wiktionary.org/wiki/ch%C3%A2u_ch%E1%BA%A5u	U+2739D	châu chấu
朝	chầu	【非】	https://en.wiktionary.org/wiki/ch%E1%BA%A7u	U+671D	chầu chực, chầu rìa, chầu trời, ăn một chầu
盆	chậu	【訓】	https://en.wiktionary.org/wiki/ch%E1%BA%ADu	U+76C6	xương chậu, chậu nước
制	chay	【非】	https://en.wiktionary.org/wiki/t%E1%BA%A9y_chay	U+5236	tẩy chay
斎	chay	【非】	https://en.wiktionary.org/wiki/chay#Vietnamese	U+658E	ăn chay, chay tịnh, cây chay
𩶪	cháy	【音】	https://en.wiktionary.org/wiki/ch%C3%A1y#Etymology_2	U+29DAA	cá cháy
烧	cháy	【訓】	https://en.wiktionary.org/wiki/ch%C3%A1y#Verb	U+70E7	cháy nhà, đám cháy
杵	chày	【訓】	https://en.wiktionary.org/wiki/ch%C3%A0y	U+6775	bóng chày, cãi chày cãi cối
𩹭	chày	【音】	https://vdict.com/c%C3%A1%20ch%C3%A0y,3,0,0.html	U+29E6D	cá chày
𫺊	chây	【音】	https://vi.wiktionary.org/wiki/ch%C3%A2y_l%C6%B0%E1%BB%9Di	U+2BE8A	chây lười
𤈜	chấy	【音】	https://en.wiktionary.org/wiki/ch%E1%BA%A5y#Etymology_2	U+2421C	chấy tôm
虱	chấy	【訓】	https://en.wiktionary.org/wiki/ch%E1%BA%A5y#Etymology_1	U+8671	chấy rận
迟	chầy	【非】	https://en.wiktionary.org/wiki/ch%E1%BA%A7y	U+8FDF	bấy chầy, chầy xớt, chẳng chóng thì chầy
流	chảy	【訓】	https://en.wiktionary.org/wiki/ch%E1%BA%A3y	U+6D41	chảy máu, ỉa chảy
走	chạy	【訓】	https://en.wiktionary.org/wiki/ch%E1%BA%A1y	U+8D70	chạy thi, chạy giặc, chạy chọt, chạy chữa
遮	che	【訓】	https://en.wiktionary.org/wiki/che#Vietnamese	U+906E	che giấu, chở che, che đậy, che chắn
𡍘	ché	【音】	https://en.wiktionary.org/wiki/ch%C3%A9#Vietnamese	U+21358	ché mắm
茶	chè	【非】	https://en.wiktionary.org/wiki/ch%C3%A8#Etymology_1_2	U+8336	nồi chè, chè chén
𥻹	chè	【訓】	https://en.wiktionary.org/wiki/ch%C3%A8#Etymology_2_2	U+25EF9	bánh chè, chè ba màu, chè bà ba
䚳	chê	【音】	https://en.wiktionary.org/wiki/ch%C3%AA#Vietnamese	U+46B3	chê cười, chê bai, chê trách, không chê được
	chẽ	【声】			chặt chẽ
制	chế	【汉】		U+5236	chế độ, chống chế, chế ngự
嘲	chế	【訓】	https://en.wiktionary.org/wiki/ch%E1%BA%BF#Etymology_2	U+5632	chế giễu, chế dầu vào lửa
製	chế	【汉】		U+88FD	chế tạo, chế biến
痆	chề	【音】	https://en.wiktionary.org/wiki/%C3%AA_ch%E1%BB%81	U+75C6	ê chề, nặng chề chề
裂	chẻ	【訓】	https://en.wiktionary.org/wiki/ch%E1%BA%BB#Vietnamese	U+88C2	chẻ củi, chẻ tre
𭖇	chệ	【音】	https://en.wiktionary.org/wiki/ch%E1%BB%85m_ch%E1%BB%87	U+2D587	chễm chệ
𬿈	chếch				chênh chếch
擲	chệch				làm chệch
㓠	chém				chặt chém
拈	chêm				chêm vào, sụn chêm
鮎	chẽm				cá chẽm
沾	chễm				chễm chệ
𢫔	chen				chen chúc, chen thêm một câu
盞	chén				chén đĩa, chè chén, ấm chén
㙻	chèn				chèn ép, chèn cửa, chèn lấn
𢸢	chẹn				chẹn cổ, chẹn ngang
佂	chênh				chênh chếch, chông chênh, chênh vênh
𠰪	chếnh				
𨠣	chếnh				chếnh choáng
𠲜	chềnh				chồng chềnh, chềnh ềnh
整	chểnh				chểnh mảng, chổng chểnh
整	chệnh				chệnh choạng
㹦	cheo				con cheo cheo, cheo leo
𧵓	cheo				cưới cheo
袑	chéo				chéo khăn, đường chéo, chéo góc
棹	chèo				mái chèo, hát chèo
嘖	chép				chép miệng
劄	chép				ghi chép, sao chép
𩺗	chép				cá chép
紥	chét				bọ chét, một chét tay
𣩂	chết				chết sống, chết chóc
𬗗	chẹt				chẹt họng, bắt chẹt
之	chi				
支	chi				chi phí, chi li, địa chi, chi bộ
芝	chi				linh chi
枝	chi				chi tiết, chi chít
肢	chi				tứ chi, chi trước
𫩝	chi				kêu chi chi (chí chí)
至	chí				thậm chí, đông chí, chí hiếu, chí tình, chí công, chí choé
志	chí				có chí, chí khí, ý chí, đồng chí
𧋺	chí				có chí thì gãi
誌	chí				báo chí, tiêu chí, dư địa chí
鈘	chì				bút chì, chì chiết
止	chỉ				cấm chỉ, cử chỉ
只	chỉ				không chỉ, chăm chỉ
旨	chỉ				phụng chỉ, chiếu chỉ
址	chỉ				địa chỉ, di chỉ
芷	chỉ				bạch chỉ
指	chỉ				chỉ dẫn, chỉ số, một chỉ bằng 3,75 gam
枳	chỉ				cây chỉ, chỉ thực, chỉ xác, chò chỉ
紙	chỉ				tín chỉ, chứng chỉ, bạch chỉ
趾	chỉ				Giao Chỉ
黹	chỉ				sợi chỉ, buộc chỉ cổ tay
姉	chị				chị em, chị gái
𢺹	chia				chia tay, chia rẽ, phân chia
匙	chìa				chìa khoá, chìa vôi
𢹌	chìa				chìa tay, chìa tiền, chả chìa
䤠	chĩa				chĩa ba, chĩa súng
䤠	chỉa				
𢶾	chỉa				chôm chỉa
刺	chích				chích kim, chích thuốc, châm chích
隻	chích				chích thân, đơn chích
𬷩	chích				chim chích, chích choè
𪮁	chịch				chịch
隻	chiếc				chiếc thuyền, chiếc gối, đơn chiếc
占	chiêm				Chiêm Thành
𠲷	chiêm				
瞻	chiêm				chiêm ngưỡng
占	chiếm				chiêm bốc, chiêm tinh, chiếm cứ, chiếm hữu, chiếm dụng, chiếm lĩnh
煎	chiên				cơm chiên, xôi chiên, chiên xào
邅	chiên				truân chiên
羶	chiên				con chiên
戰	chiến				chiến tranh, chiến đấu, chiến lược
廛	chiền				chùa chiền
鉦	chiêng				chiêng trống
𠲷	chiếp				chiêm chiếp
折	chiết				chiết khấu, chiết suất, chiết cây, chì chiết
招	chiêu				chiêu trò, chiêu đãi, chiêu an, chiêu bài
昭	chiêu				cô chiêu, đăm chiêu, chân đăm đá chân chiêu
𣸬	chiêu				chiêu một ngụm nước
詔	chiếu				chiếu thư, chiếu chỉ
照	chiếu				chiếu sáng, đối chiếu, chiếu lệ, hộ chiếu, tham chiếu, chiếu cố
𥴜	chiếu				chăn chiếu
朝	chiều				chiều hướng, chiều cao, chiều con, chiều chuộng, ra chiều khinh bỉ
𣊿	chiều				buổi chiều, chiều mai
沼	chiểu				chiểu đài
炤	chiểu				Nguyễn Đình Chiểu
照	chiểu				chiểu chi, chiểu nghị định thi hành
𪀄	chim				chim chóc, tổ chim
呫	chím				chúm chím
沈	chìm				chìm ngập, chìm đắm, cân chìm, ba chìm bảy nổi
𠃩	chín				thứ chín
𤇪	chín				nấu chín, trái chín
㐱	chỉn				chỉn chu
征	chinh				chinh chiến, xuất chinh, viễn chinh
正	chính				ý chính, chính thức, chính xác
政	chính				chính phủ, chính trị
精	chính				mì chính
整	chỉnh				nghiêm chỉnh, điều chỉnh, chỉnh tề, chỉnh lí
𠽃	chíp				chíp chíp
儨	chít				chít khăn, chít kẽ hở
㑜	chịt				chằng chịt
招	chiu				chắt chiu
𠹾	chịu				chịu đựng, chịu lửa, chịu chơi
朱	cho				cho phép, làm cho
㹥	chó				con chó, chó nghiệp vụ
椆	chò				chò chỉ, cái chò
𡊲	chỗ				chỗ ngồi, chỗ bạn bè
𦙴	chỏ				cùi chỏ, ngòn chỏ, chỉ chỏ
啫	chơ				chơ vơ, lơ chơ
四	chớ				chớ
渚	chớ				chớ hề
䟻	chờ				chờ đợi, chờ mong, chờ xe
𨔾	chở				chuyên chở, chở hàng, che chở
𢄂	chợ				đi chợ, chợ trời, phiên chợ, chợ nổi
𠺷	choạc				loạc choạc
𥡈	choai				choai choai, ngựa choai
𤶜	choáng				choáng váng
𧝎	choàng				áo choàng
鏯	choảng				loảng choảng
𤈛	choạng				chập choạng
𫏈	choạng				loạng choạng
㑁	choắt				loắt choắt
𠺷	chóc				chim chóc, chết chóc
𣘌	chóc				củ chóc
𡎺	chốc				mấy chốc, chốc nữa, chốc lát, chốc mòng
𤹙	chốc				ghẻ chốc, chốc đầu
擉	chọc				chọc trời, châm chọc, chọc tức, chọc tiết
𡍘	choé				
㫼	choé				chí choé, đỏ choé
𦴶	choè				choè choẹt
𪄦	choè				chích choè
𲇥	choẹ				chũm choẹ
𣾵	choẹt				choè choẹt
椎	choi				loi choi
熶	chói				sáng chói
椎	chòi				chòi ra, chòi mòi
𢊛	chòi				chòi canh, chòi gác
挃	chối				từ chối
䒹	chồi				đâm chồi nẩy lộc
𥫌	chỗi				
𨔈	chơi				chơi bời, chơi xuân, chơi vơi, chịu chơi, chơi ghi-ta
䇛	chổi				sao chổi
㩡	chọi				gà chọi, trứng chọi đá
𤈪	chới				chới với, chấp chới
𠱤	chội				chật chội
笘	chòm				chòm sao, chòm xóm, chòm râu, chòm cây
撍	chôm				chôm chỉa
𨇸	chồm				tốc chăn chồm dậy
𡹟	chơm				chơm chởm
跕	chổm				chúa chổm, chổm dậy
佔	chớm				chớm nở, chớm bệnh
𡹟	chởm				lởm chởm
嶟	chon				chon von
墫	chôn				chôn cất, chôn chân, chôn vùi
坉	chốn				nơi chốn
𤞐	chồn				con chồn, hổ báo cáo chồn
𤶐	chồn				bồn chồn
准	chỏn				lỏn chỏn, chỏn hỏn
真	chơn				chơn thật, chơn lí
譔	chọn				chọn lọc, chọn lựa, bình chọn
𥌬	chờn				chờn vờn, chập chờn
炵	chong				chong đèn, chong chong
𫏢	chong				chong chóng
𫏢	chóng				chóng vánh, mau chóng
泈	chòng				chòng chành, chòng ghẹo
緟	chòng				
擉	chòng				chòng chọc
蔠	chông				rải chông, chông chênh
𥧪	chống				chống chếnh
𢶢	chống				chống đối, chèo chống, chống chế, chống án
重	chồng				chồng chất, chồng đống
𫯳	chồng				vợ chồng
𥵾	chỏng				chỏng gọng, chỏng chơ, lỏng chỏng
偅	chổng				chổng kềnh, chổng chểnh
𩮿	chóp				chóp núi, chóp bu, chóp chép
𩅀	chớp				chớp nhoáng, chớp mắt, chớp bóng, sấm chớp
摯	chộp				chộp lấy, bộp chộp
𥊝	chợp				chợp mắt
㟮	chót				hạn chót, chót ngói, chót vót
𢱝	chốt				chốt cửa, chủ chốt, then chốt, mấu chốt
䱣	chốt				cá chốt
𢬮	chọt				chạy chọt
𡂒	chớt				chớt nhả
𥈳	chột				chột mắt, chột bụng, chột dạ, thui chột, cây chột
眣	chợt				bắt chợt, bất chợt
朱	chu				chu sa, Chu Tước
周	chu				chu vi, chu đáo, chỉn chu, chu cấp, chu du, chu kì
啁	chu				chu mỏ
咒	chú				bùa chú, niệm chú
注	chú				cha chú, chú bác
注	chú				chú tâm, chú ý, chú mục, chú trọng
註	chú				chú giải, ghi chú, chú thích
主	chủ				chủ nghĩa, chủ nhà, chủ chốt, chủ bút
諸	chư				chư vị, chư hầu
渚	chứ				đi chứ, bạn khoẻ chứ, chứ còn gì nữa
𪡷	chừ				chần chừ
𡨸	chữ				chữ viết, chữ cái, chữ Nôm
注	chua				chua thêm
䣷	chua				cà chua
主	chúa				công chúa, chúa tể, ong chúa, chúa sơn lâm, ăn mặc chúa
𫷨	chùa				chùa chiền, cảnh chùa, ăn chùa
𣗓	chưa				chưa được, vẫn chưa
貯	chứa				chất chứa
除	chừa				chừa mặt, chừa thuốc lá
𢵻	chữa				sửa chữa, chữa thẹn, chữa bệnh, chạy chữa
媎	chửa				có chửa
𣗓	chửa				chửa đi, chửa làm
准	chuẩn				phê chuẩn, chuẩn uý, chuẩn đô đốc, bộ đã chuẩn việc mở rộng phòng thí nghiệm ở trường đại học
準	chuẩn				chuẩn bị, tiêu chuẩn, chuẩn xác, chuẩn mực
祝	chúc				cung chúc, chúc mừng, chúc phúc
𨃷	chúc				chúc xuống đất, chen chúc
囑	chúc				di chúc
𨔿	chục				một chục, hai chục người
職	chức				chức vụ, tại chức, chức viên
織	chức				tổ chức, chức nữ
徝	chực				chầu chực, chực chờ
𨄺	chui				cầu chui
跮	chúi				chúi nhủi, chúi mũi, chúi đầu
𢹉	chùi				lau chùi, chùi chân
𪒽	chũi				chuột chũi, dế chũi
𠯽	chửi				mắng chửi
䍄	chum				cái chum, chum vại
𠶍	chúm				chúm chím
𫇳	chùm				chùm hoa, chùm quả
𥬧	chũm				chũm choẹ
𥱱	chụm				chụm lại, chụm chân, chụm củi, chụm lửa
𦀹	chun				
𠶯	chùn				chùn chụt
𨀛	chùn				chùn bước
准	chủn				lủn chủn
盅	chung				chung rượu
終	chung				của chung, nói chung, chung chung, chung nhau
終	chung				chung kết, lâm chung
鐘	chung				chung tình
衆	chúng				chúng ta, chúng sinh
重	chùng				chập chùng
種	chủng				chủng loại, tuyệt chủng, chủng tộc, tạp chủng, tiêm chủng
烝	chưng				vì chưng
蒸	chưng				bánh chưng, chưng cất
徵	chưng				
症	chứng				chứng bệnh
證	chứng				chứng cứ, chứng minh, chứng chỉ
澄	chừng				coi chừng, ước chừng, độ chừng
𨀧	chững				chập chững, chững chạc, ăn mặc chững
洆	chửng				ngã bổ chửng
汋	chuốc				chuốc lấy, chuốc vạ, chuốc rượu
贖	chuộc				chuộc tội, mua chuộc
酌	chước				châm chước, chước lễ
着	chước				bắt chước
雀	chược				mạt chược
𣙯	chuôi				chuôi dao, chuôi gươm, nắm đằng chuôi
荎	chuối				chuối tiêu, củ chuối
𩸯	chuối				cá chuối
漼	chuồi				cho chuồi xuống
𠁻	chuỗi				chuỗi hạt (hột) trai
𨒸	chuồn				chuồn mất
𧋃	chuồn				chuồn chuồn
鐘	chuông				chuông trống, nhạc chuông, ớt chuông
㮔	chuồng				chuồng trại, phân chuồng, chuồng xí
𡮶	chuộng				ưa chuộng, ham chuộng
章	chương				ấn chương, chương trình, văn chương, hiến chương
脹	chương				chương lên, chương phềnh
彰	chương				biểu chương
樟	chương				chương não
脹	chướng				chướng bụng
障	chướng				nghiệp chướng, nghiệt chướng, chướng ngại, chướng luỹ, gió chướng, chướng tai
瘴	chướng				chướng khí, lam chướng
悜	chường				chường mặt, chán chường
掌	chưởng				phim chưởng, chưởng lí, chưởng bạ, Giáng Long Thập Bát Chưởng
𱐟	chuốt				chải chuốt, trau chuốt
𤝞	chuột				chuột bạch, dưa chuột, chim chuột
𠌷	chụp				chụp bóng, chụp ảnh
𡭧	chút				một chút, chăm chút, chút xíu
𠶯	chụt				chùn chụt
㑁	chứt				người Chứt
專	chuyên				chuyên gia, chuyên chế, chuyên cần, chuyên môn
𨖇	chuyên				chuyên chở, ấm chuyên
邅	chuyên				truân chuyên
轉	chuyến				chuyến đò, chuyến bay, chuyến xe, buôn chuyến
傳	chuyền				chuyền bóng, dây chuyền
轉	chuyển				di chuyển, thuyên chuyển, chuyển động
𡀯	chuyện				chuyện trò, chuyện vãn, gạ chuyện, sinh chuyện, vẽ chuyện, nói chuyện
𢮩	co				co cơ
固	có				có thể, có chồng, có tiền, có khi, có tuổi, cau có
瞿	cò				cò súng, cò cưa, cò kè, ông cò, cò-mi-xe
𪂲	cò				con cò, cò mồi, lò cò, đục nước béo cò
孤	cô				cô độc, cô nhi, cô đơn, cô lập, cô hồn, ma-cô
姑	cô				cô giáo, cô nương, ni cô
菇	cô				đông cô
辜	cô				báo cô
固	cố				cố gắng, cố lên
固	cố				gia cố, cố định, ngoan cố, củng cố, cố thủ, cố chấp
故	cố				sự cố, cố hương, cụ cố, cố Tổng Bí thư
雇	cố				cố chủ, cố nông, cầm cố
痼	cố				cố tật
錮	cố				cấm cố
顧	cố				chiếu cố
𡚝	cồ				Đại Cồ Việt, chim trích cồ
鈷	cỗ				cỗ pháo, cỗ bài
𩚩	cỗ				mâm cỗ, cỗ lòng, cỗ bàn
𦹯	cỏ				bãi cỏ, cỏ tranh
肌	cơ				cơ bắp, co cơ, cơ thể
奇	cơ				chưởng cơ
飢	cơ				cơ cực, cơ hàn
姬	cơ				Âu Cơ
基	cơ				cơ sở, cơ nghiệp, cơ số, Cơ Đốc
幾	cơ				cơ hồ, cơ man
𠼻	cơ				
機	cơ				thời cơ, phi cơ, cơ quan, đầu cơ, chuyên cơ, vô cơ
古	cổ				đồ cổ, cổ truyền, thành cổ, cổ kính, Ai Cập cổ
股	cổ				cổ phần, cổ đông
𦙶	cổ				hươu cao cổ, cổ tay, cổ áo
鼓	cổ				cổ động, cổ vũ, cổ xuý
賈	cổ				cổ hại
臌	cổ				cổ trướng
𢮭	cọ				cãi cọ, cọ xát
椇	cọ				cây cọ
故	cớ				cớ sự, mượn cớ, nguyên cớ, duyên cớ
期	cờ				tình cờ
棋	cờ				cờ vây, cờ bạc
旗	cờ				lá cờ, cờ tổ quốc
𢤫	cỡ				mắc cỡ
櫸	cỡ				kích cỡ, tầm cỡ
𨍄	cộ				xe cộ
唂	cóc				bắt cóc, cóc làm được, lóc cóc
𧋉	cóc				con cóc
𫈅	cóc				quả cóc
谷	cốc				sơn cốc, thâm sơn cùng cốc, lốc cốc
𤭏	cốc				cốc chịu nóng
穀	cốc				kem cốc, tịch cốc, than cốc
鵒	cốc				con cốc
𣌶	cọc				còng cọc
梮	cọc				đóng cọc, đặt cọc, còi cọc
侷	cộc				quần cộc, cộc lốc, cộc cằn, lộc cộc
䁛	coi				coi sách, coi nhà
𧄑	cói				cây cói, chiếu cói
𩲡	còi				đứa bé còi, còi cọc, còi xương
𧥇	còi				tiếng còi, thổi còi
瑰	côi				mân côi
𠎺	côi				đơn côi, côi cút, mồ côi
𡎝	cõi				cõi đời, còm cõi
臼	cối				cối giã
樻	cối				cây cối
檜	cỗi				
𦓊	cỗi				cằn cỗi
𢜽	cỏi				cứng cỏi, kém cỏi
𣛣	cơi				cơi nới, cơi nhà, cơi đựng trầu
騎	cỡi				
檜	cội				cội nguồn
𢶒	cởi				cởi áo, cởi mở
膁	còm				còm cõi
𥺻	cốm				bánh cốm
𥖜	cồm				cồm cộm
𩚵	cơm				ăn cơm, thổi cơm
慬	cỡm				kệch cỡm
𥖜	cộm				dày cộm, lộm cộm, nổi cộm
𣋜	cợm				kịch cợm
崑	con				Con (Kon) Tum
𡥵	con				đẻ con, con cái, bà con, con bạc
𡀳	còn				còn lại, còn gì, mà còn
昆	côn				côn trùng, súng côn
崑	côn				Côn Lôn
棍	côn				du côn, côn đồ, côn quyền
䐊	cồn				dán bằng cồn
醌	cồn				rượu cồn, tính cồn, không có cồn
