character	reading	class	reference	encoding	usage
𣿌	át	【音】	https://en.wiktionary.org/wiki/%C3%A1t#Etymology_3	U+23FCC	ướt át
尖	át	【訓】	https://en.wiktionary.org/wiki/%C3%A1t#Etymology_1_2	U+5C16	con át chủ
必	ắt	【訓】	https://en.wiktionary.org/wiki/%E1%BA%AFt	U+5FC5	ắt phải, ắt là
乙	ất	【汉】		U+4E59	Ất Sửu, Ất Mão
	ạt	【声】			ào ạt, ồ ạt
洀	âu	【訓】	https://en.wiktionary.org/wiki/%C3%A2u#Etymology_2	U+6D00	âu thuyền, âu tàu
妪	âu	【汉】		U+59AA	Âu Cơ
瓯	âu	【汉】		U+74EF	âu vàng, âu sành
欧	âu	【汉】		U+6B27	Châu Âu
𫋲	âu	【汉】		U+2B2F2	âu yếm
𧦅	âu	【汉】		U+27985	âu ca
鴎	âu	【汉】		U+9D0E	hải âu
忧	âu	【非】	https://en.wiktionary.org/wiki/%C3%A2u#Etymology_4	U+5FE7	lo âu, âu sầu
怄	âu	【音】	https://en.wiktionary.org/wiki/%C3%A2u#Etymology_3	U+6004	âu cũng
	âu	【声】			Âu! Ngủ đi con
幼	ấu	【汉】		U+5E7C	thơ ấu
呕	ẩu	【汉】		U+5455	ẩu tả
殴	ẩu	【汉】		U+6BB4	ẩu đả
𬏠	ẩu	【音】	https://en.wiktionary.org/wiki/%E1%BA%A9u#Etymology_1	U+2C3E0	ẩu tả
萎	áy	【訓】	https://en.wiktionary.org/wiki/%C3%A1y	U+840E	áy náy, cỏ áy bóng tà
那	ấy	【訓】	https://en.wiktionary.org/wiki/%E1%BA%A5y	U+90A3	người ấy, lúc ấy, chuyện ấy
巴	ba	【汉】		U+5DF4	ba kích
芭	ba	【汉】		U+82AD	ba tiêu
三	ba	【訓】	https://en.wiktionary.org/wiki/ba#Etymology_2_10	U+4E09	ba mươi, thứ ba, ba phải, dăm ba, ba bị
爸	ba	【汉】		U+7238	ba má
波	ba	【汉】		U+6CE2	phong ba, bôn ba, vi ba, Ba Lan
啵	ba	【音】	https://en.wiktionary.org/wiki/ba_hoa	U+5575	ba hoa
耙	ba	【汉】		U+8019	đinh ba
蚆	ba	【音】	https://en.wiktionary.org/wiki/ba_ba	U+8686	con ba ba
𢻷	bá	【音】	https://en.wiktionary.org/wiki/b%C3%A1#Etymology_1_4	U+22EF7	bá vai
伯	bá	【汉】		U+4F2F	bá phụ, sư bá, bá tước, hà bá
播	bá	【汉】		U+64AD	truyền bá
大	bá	【訓】	https://en.wiktionary.org/wiki/ch%C3%A0_b%C3%A1	U+5927	chà bá
